model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,23,73.7226,108.5148,2.125,3,1.375,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,24,195.0627,41.0125,17.5,19,7.5,9
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,25,103.9052,76.9933,6.5,7,3.25,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,26,156.3317,51.1732,12.25,13,6.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,27,88.2566,90.6448,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,28,228.3662,35.0315,19.125,20,8.375,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,29,86.7664,92.2016,5.5,6,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,30,228.862,34.9556,18.625,20,8.25,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,31,107.2794,74.5716,6.125,7,3.125,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,32,90.903,88.0059,3.875,4,2.25,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,33,92.2712,86.701,5.0,5,2.875,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,34,139.9948,57.145,9.875,11,4.875,6
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,35,426.7187,18.7477,36.125,39,17.5,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,36,160.9951,49.691,13.25,15,5.75,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,37,92.8696,86.1423,5.0,5,3.0,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,38,58.7441,136.1839,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,39,91.831,87.1166,3.875,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,40,88.283,90.6176,5.0,5,2.75,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,41,59.4268,134.6193,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,42,60.8449,131.4819,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,43,91.1096,87.8063,4.0,4,2.375,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,44,242.9824,32.9242,18.5,20,8.375,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,45,365.1608,21.9082,34.75,41,15.125,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,46,363.0174,22.0375,34.25,39,16.25,19
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,47,176.5064,45.3241,14.125,16,6.875,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,48,218.3137,36.6445,18.375,19,8.125,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,8,49,107.0355,74.7416,5.0,5,2.875,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,0,202.4347,79.0378,13.3125,15,5.875,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,1,144.1538,110.9925,4.75,5,2.875,4
